SHIP_TO;SALES_DISTRICT;SALES_OFFICE;SALES_GROUP;CUST_GRP;PROXI_CATEG2;PROXI_CATEG3;TERR_LVL2;TERR_LVL3
6B7CEEFAAE1027BDAD99F2C96119FE87;Дивизион 7;Город 16;Филиал 173;Формат ТТ 56;Торговая сеть 67;E-COM;Регион 5;Область 10
81752EA1CF02C19CC7B55561FFE0C760;Дивизион 7;Город 16;Филиал 173;Формат ТТ 56;Торговая сеть 67;E-COM;Регион 5;Область 10
706155A5C878094F242F042F11C16B1A;Дивизион 7;Город 16;Филиал 173;Формат ТТ 56;Торговая сеть 67;E-COM;Регион 5;Область 10
15D49593D9E57DA1491C91AEAD310E09;Дивизион 5;Город 24;Филиал 15;Формат ТТ 56;Торговая сеть 67;E-COM;Регион 4;Область 13
BA2A9FC607C7036B55C7055AB0D727B6;Дивизион 2;Город 14;Филиал 136;Формат ТТ 4;Торговая сеть 125;INDIRECT;Регион 7;Область 4
2D01E6189C11387782EB9C4563403308;Дивизион 7;Город 16;Филиал 173;Формат ТТ 99;Торговая сеть 137;IMPULSE;Регион 5;Область 10
D77D6B482F1CD05F1F6F282FB0649155;Дивизион 7;Город 16;Филиал 173;Формат ТТ 99;Торговая сеть 137;IMPULSE;Регион 5;Область 10
0BEB9FB37028975B7D77B290A9A6F1B7;Дивизион 7;Город 16;Филиал 173;Формат ТТ 99;Торговая сеть 137;IMPULSE;Регион 5;Область 10
D997A662CD638E0EE676156207AC7D30;Дивизион 6;Город 10;Филиал 161;Формат ТТ 99;Торговая сеть 137;IMPULSE;Регион 3;Область 5
9D9370A4BA3EA9B5DA3A2FDDB9399BC4;Дивизион 6;Город 10;Филиал 161;Формат ТТ 99;Торговая сеть 137;IMPULSE;Регион 3;Область 5
36B625B2D6908F694DFC92C38B861A93;Дивизион 6;Город 10;Филиал 161;Формат ТТ 99;Торговая сеть 137;IMPULSE;Регион 3;Область 5
A00DB2638B08813135F8C0702B01F33F;Дивизион 6;Город 10;Филиал 161;Формат ТТ 99;Торговая сеть 137;IMPULSE;Регион 3;Область 5
EA4E53F99D67B3C850BD3F2B61D35E56;Дивизион 7;Город 16;Филиал 186;Формат ТТ 3;Торговая сеть 165;INDIRECT;Регион 5;Область 11
64253D90BE15B746BBB3A06CE19D4D83;Дивизион 3;Город 28;Филиал 126;Формат ТТ 3;Торговая сеть 175;INDIRECT;Регион 2;Область 18
65EB44494B6F8F7FFD148160E7CBB65D;Дивизион 7;Город 16;Филиал 186;Формат ТТ 3;Торговая сеть 198;INDIRECT;Регион 5;Область 11
FCE27B5E304625224800E82781F96972;Дивизион 7;Город 16;Филиал 186;Формат ТТ 3;Торговая сеть 198;INDIRECT;Регион 5;Область 11
07DA7FB6083912C55648C80E57289504;Дивизион 7;Город 16;Филиал 186;Формат ТТ 3;Торговая сеть 198;INDIRECT;Регион 5;Область 11
B065EC0114CAE06912E4567DA4FAF710;Дивизион 7;Город 16;Филиал 186;Формат ТТ 3;Торговая сеть 198;INDIRECT;Регион 5;Область 11
764E91FCA6F342EAB1A31BB8E952C579;Дивизион 3;Город 20;Филиал 91;Формат ТТ 3;Торговая сеть 207;INDIRECT;Регион 3;Область 24
0B0B390A7AF398E16A3E7536019C66F3;Дивизион 3;Город 20;Филиал 91;Формат ТТ 3;Торговая сеть 207;INDIRECT;Регион 3;Область 24
